               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1115,            0.023998,            0.013439,           0.0018278,            0.099231,           0.0022691,          0.00047974,            0.093226,            0.013731,          0.00087371,            0.070833,           0.0032407,           0.0032407
                   1,            0.083228,            0.021027,           0.0021524,             0.57946,            0.096154,            0.042653,            0.010405,             0.08763,            0.017301,          0.00082724,            0.040703,           0.0064439,           0.0064439
                   2,            0.077616,             0.01875,           0.0022206,             0.58146,            0.085385,            0.036698,           0.0087759,            0.095224,              0.0189,           0.0010361,            0.010441,           0.0095151,           0.0095151
                   3,            0.072011,            0.018226,           0.0020919,             0.57636,             0.10154,             0.04111,            0.009835,            0.070652,            0.017273,          0.00073335,            0.009406,            0.009406,            0.009406
                   4,            0.067496,            0.017639,           0.0017831,             0.62453,                0.14,            0.086159,            0.024006,            0.068249,             0.01625,          0.00065682,            0.009406,            0.009406,            0.009406
                   5,             0.06474,            0.017458,           0.0015754,             0.66824,             0.12308,             0.10182,            0.031602,             0.06856,            0.015018,          0.00058329,            0.009208,            0.009208,            0.009208
                   6,            0.062641,            0.017321,            0.001149,             0.62484,             0.16308,            0.087412,            0.027716,            0.063421,            0.015619,          0.00063595,             0.00901,             0.00901,             0.00901
                   7,             0.06165,            0.017206,           0.0010361,             0.54425,            0.028462,            0.014696,           0.0046721,            0.078643,            0.018124,          0.00067992,            0.008812,            0.008812,            0.008812
                   8,             0.06018,            0.016726,           0.0010196,             0.69367,             0.18077,             0.13905,            0.039471,             0.06171,            0.013942,           0.0005424,            0.008614,            0.008614,            0.008614
                   9,            0.060045,            0.016645,            0.001078,             0.71155,             0.17769,             0.14313,             0.04475,            0.064518,            0.015443,          0.00054651,            0.008416,            0.008416,            0.008416
                  10,            0.059089,            0.016511,          0.00081853,             0.72632,             0.16231,             0.15522,            0.046659,            0.058934,            0.015151,          0.00039139,            0.008218,            0.008218,            0.008218
                  11,            0.058269,            0.016606,          0.00078024,             0.69829,             0.16229,             0.13419,            0.040366,            0.062879,            0.013694,          0.00064608,             0.00802,             0.00802,             0.00802
                  12,            0.057329,            0.016734,           0.0006883,             0.71897,             0.15846,             0.14386,            0.044703,            0.065047,            0.013585,          0.00040957,            0.007822,            0.007822,            0.007822
                  13,            0.057149,            0.016743,          0.00059739,             0.75721,             0.17231,             0.18187,             0.05274,            0.061416,            0.013755,          0.00045433,            0.007624,            0.007624,            0.007624
                  14,            0.055875,            0.016303,          0.00071062,             0.70471,             0.16769,             0.13976,            0.042206,            0.062869,            0.015392,           0.0014329,            0.007426,            0.007426,            0.007426
                  15,             0.05557,            0.016049,          0.00055974,             0.71442,             0.17231,             0.15144,            0.048776,            0.063483,            0.015773,          0.00053028,            0.007228,            0.007228,            0.007228
                  16,            0.054905,            0.016353,          0.00046888,             0.73059,             0.16846,             0.15076,             0.04726,            0.063296,              0.0145,          0.00067024,             0.00703,             0.00703,             0.00703
                  17,            0.054039,            0.015856,          0.00053363,             0.74104,             0.19923,             0.18566,             0.05706,            0.058368,            0.013228,          0.00036997,            0.006832,            0.006832,            0.006832
                  18,            0.053582,            0.015687,          0.00043622,             0.76352,             0.21343,             0.20736,             0.06491,            0.057051,            0.013852,          0.00032063,            0.006634,            0.006634,            0.006634
                  19,            0.053515,            0.015905,          0.00050051,             0.77716,             0.20282,             0.20194,            0.065717,             0.06198,            0.012642,           0.0003433,            0.006436,            0.006436,            0.006436
                  20,            0.052937,            0.015701,          0.00043284,              0.7326,             0.17538,             0.16153,            0.048429,            0.064163,            0.013648,          0.00030503,            0.006238,            0.006238,            0.006238
                  21,            0.052391,            0.015479,          0.00044248,             0.76681,             0.20156,             0.20615,            0.061793,            0.058855,            0.013109,          0.00043879,             0.00604,             0.00604,             0.00604
                  22,            0.051055,            0.015469,          0.00039641,             0.73158,             0.15596,             0.14878,            0.050046,            0.061771,            0.013448,          0.00066496,            0.005842,            0.005842,            0.005842
                  23,            0.051632,             0.01546,          0.00031036,             0.74727,             0.18364,             0.17491,            0.054976,            0.065773,            0.013803,          0.00075184,            0.005644,            0.005644,            0.005644
                  24,            0.050724,              0.0152,          0.00035513,             0.73108,             0.20358,             0.17131,            0.056521,            0.061202,            0.013442,          0.00053834,            0.005446,            0.005446,            0.005446
                  25,            0.050353,            0.015134,          0.00029133,             0.76403,             0.19692,             0.19946,            0.065233,            0.057113,            0.012948,          0.00049585,            0.005248,            0.005248,            0.005248
                  26,            0.049626,            0.015228,          0.00032277,             0.75488,             0.21846,             0.19521,            0.064034,            0.059815,            0.012882,          0.00058293,             0.00505,             0.00505,             0.00505
                  27,            0.049506,               0.015,          0.00046342,             0.75893,             0.21462,             0.20424,            0.065498,            0.057725,            0.012402,          0.00051609,            0.004852,            0.004852,            0.004852
                  28,            0.049111,            0.014838,          0.00030851,             0.78087,             0.19523,             0.20144,             0.06676,            0.056582,            0.013411,          0.00093532,            0.004654,            0.004654,            0.004654
                  29,            0.048602,            0.014706,          0.00027881,             0.76818,             0.22157,             0.21107,            0.067885,            0.057363,            0.013444,          0.00066774,            0.004456,            0.004456,            0.004456
                  30,            0.048368,            0.014933,          0.00027303,             0.79421,                0.22,             0.21942,            0.070412,            0.059655,            0.012733,          0.00030895,            0.004258,            0.004258,            0.004258
                  31,            0.047835,            0.014735,          0.00026052,             0.79386,             0.23308,             0.22804,            0.074961,            0.055838,            0.012378,          0.00083842,             0.00406,             0.00406,             0.00406
                  32,            0.047599,            0.014804,          0.00019309,             0.78294,             0.22385,             0.21308,             0.06931,            0.062957,            0.013045,          0.00048193,            0.003862,            0.003862,            0.003862
                  33,            0.047276,             0.01448,          0.00020794,             0.76618,             0.23206,             0.21859,            0.072109,            0.059753,            0.012807,          0.00052928,            0.003664,            0.003664,            0.003664
                  34,            0.046858,            0.014205,          0.00024978,             0.77005,             0.22462,             0.22087,            0.077857,            0.055719,            0.012084,          0.00036783,            0.003466,            0.003466,            0.003466
                  35,            0.046342,            0.014094,          0.00022759,             0.79083,                0.23,             0.22004,             0.07182,            0.059618,            0.012289,          0.00059866,            0.003268,            0.003268,            0.003268
                  36,            0.045909,            0.014186,          0.00024071,             0.80894,             0.21231,             0.21423,            0.070514,            0.058565,            0.013425,          0.00055139,             0.00307,             0.00307,             0.00307
                  37,            0.045914,            0.014022,          0.00026436,             0.79026,             0.22077,             0.21517,            0.071606,            0.060759,            0.012523,          0.00052309,            0.002872,            0.002872,            0.002872
                  38,            0.045014,              0.0142,          0.00016842,             0.81531,             0.20923,              0.2222,            0.075184,            0.057928,            0.012631,          0.00074487,            0.002674,            0.002674,            0.002674
                  39,            0.044937,            0.013893,          0.00018552,             0.80654,             0.22308,             0.22805,            0.076449,            0.059046,            0.011902,          0.00056421,            0.002476,            0.002476,            0.002476
                  40,             0.04451,            0.013788,          0.00016223,              0.7791,             0.22692,             0.22183,            0.075452,            0.058105,            0.013032,           0.0004058,            0.002278,            0.002278,            0.002278
                  41,            0.044319,            0.013739,          0.00014976,             0.78112,             0.22462,             0.21328,            0.071535,            0.058254,            0.012074,           0.0005252,             0.00208,             0.00208,             0.00208
                  42,             0.04385,            0.013335,          0.00012868,             0.79892,             0.23462,             0.23638,            0.079022,            0.059192,            0.012442,          0.00050498,            0.001882,            0.001882,            0.001882
                  43,            0.043412,            0.013291,          0.00012603,             0.78385,             0.23462,             0.22078,            0.075945,             0.05994,            0.012776,          0.00052902,            0.001684,            0.001684,            0.001684
                  44,            0.043681,            0.013464,          0.00016726,             0.80988,                0.23,             0.22664,            0.077193,            0.059446,            0.012007,          0.00061328,            0.001486,            0.001486,            0.001486
                  45,            0.043237,            0.013474,          0.00015876,             0.78699,             0.22385,             0.20869,            0.071958,            0.060946,            0.012702,           0.0005466,            0.001288,            0.001288,            0.001288
                  46,            0.042676,            0.013557,          0.00013163,             0.79039,             0.22385,               0.218,             0.07736,            0.058739,            0.012362,          0.00041362,             0.00109,             0.00109,             0.00109
                  47,            0.042414,             0.01346,          0.00010614,             0.81782,             0.23692,             0.24137,            0.081017,            0.057629,            0.012545,          0.00044911,            0.000892,            0.000892,            0.000892
                  48,            0.041882,            0.013184,          0.00012802,             0.79273,             0.24335,             0.24134,            0.082307,            0.058453,            0.012225,          0.00048864,            0.000694,            0.000694,            0.000694
                  49,            0.041821,             0.01308,          0.00012552,             0.78352,             0.24784,             0.23869,            0.079838,            0.059368,            0.012501,           0.0005159,            0.000496,            0.000496,            0.000496
