                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2368,                 4.5967,                 1.7307,                0.39978,                0.32769,                0.28605,                0.09179,                 2.2815,                 3.7936,                 1.9661,             0.00066302,             0.00066302,             0.00066302
                      2,                 2.2339,                  3.013,                 1.8089,                 0.3463,                0.26308,                0.21037,                0.07567,                 2.3452,                 2.8518,                  2.041,              0.0013034,              0.0013034,              0.0013034
                      3,                 2.2252,                 2.5131,                 1.8282,                0.31429,                0.28769,                0.19636,                0.06215,                 2.4153,                 2.7285,                 1.9166,              0.0019173,              0.0019173,              0.0019173
                      4,                  2.192,                   2.35,                 1.8297,                0.46899,                   0.38,                0.33963,                0.11001,                 2.3565,                 2.3641,                 1.9666,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1442,                 2.2346,                 1.7855,                0.50772,                0.35383,                0.35497,                0.11633,                 2.3349,                 2.1412,                 1.9419,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.1368,                  2.182,                 1.7742,                0.51864,                0.37794,                0.37998,                0.13048,                 2.2445,                 2.1393,                   1.83,               0.001802,               0.001802,               0.001802
                      7,                 2.1004,                 2.1294,                 1.7344,                0.49462,                0.39231,                0.39106,                0.14485,                 2.2052,                 2.0438,                 1.8207,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0816,                 2.0556,                 1.7111,                0.56073,                0.36528,                0.37955,                0.13766,                 2.1991,                 2.1222,                  1.845,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0292,                 1.9856,                 1.6816,                0.49332,                0.41538,                 0.4014,                0.14488,                 2.1492,                 2.0087,                 1.7454,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0482,                 1.9973,                 1.6875,                0.54618,                0.40769,                0.41684,                0.13832,                 2.2014,                 2.0891,                 1.8088,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0301,                  1.953,                 1.6659,                0.49909,                0.34769,                 0.3539,                 0.1228,                 2.1887,                 2.1712,                 1.8031,               0.001604,               0.001604,               0.001604
                     12,                 1.9842,                 1.8986,                 1.6259,                0.54339,                0.40154,                0.43016,                0.15426,                 2.1392,                 1.9353,                 1.7719,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0114,                 1.8753,                 1.6515,                0.57204,                0.40154,                0.41818,                0.15389,                 2.1374,                 2.0443,                 1.7623,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9982,                 1.8778,                 1.6389,                0.52713,                0.36154,                0.39223,                0.13783,                 2.1361,                  1.975,                 1.7457,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.976,                 1.8567,                 1.6423,                0.55462,                0.45787,                0.48077,                0.17501,                 2.1504,                 1.7994,                 1.7847,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9675,                 1.8252,                 1.6278,                0.53203,                0.43077,                0.43678,                0.16406,                 2.1485,                 1.8682,                 1.7766,               0.001406,               0.001406,               0.001406
                     17,                 1.9515,                 1.7987,                 1.6096,                0.58578,                0.43077,                0.45233,                0.16462,                 2.1369,                  1.863,                 1.7482,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9571,                  1.796,                 1.6126,                0.46372,                0.41106,                 0.3912,                0.14124,                 2.1373,                 1.9132,                 1.7265,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9517,                 1.7798,                 1.6105,                0.63362,                0.43077,                0.46503,                0.17469,                 2.1285,                 1.7791,                  1.734,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9246,                 1.7413,                  1.605,                0.50773,                0.42525,                0.43041,                0.16246,                 2.0694,                 1.9081,                 1.6975,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9348,                 1.7186,                 1.5887,                0.58469,                0.48154,                0.50574,                   0.18,                 2.1146,                 1.8038,                 1.7289,               0.001208,               0.001208,               0.001208
                     22,                 1.9105,                 1.7135,                 1.5825,                0.57311,                0.40308,                 0.4607,                0.17434,                  2.133,                 1.9162,                 1.7441,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.8821,                 1.6902,                 1.5662,                0.55479,                0.43846,                0.44477,                0.16435,                 2.0977,                 1.8564,                  1.718,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.9247,                  1.658,                 1.5728,                0.56319,                0.47846,                0.48779,                0.18461,                 2.0857,                 1.7825,                 1.6841,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.8837,                 1.6315,                 1.5429,                 0.6039,                0.47614,                0.49812,                0.18086,                 2.1367,                 1.8133,                 1.7351,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.8862,                 1.6188,                 1.5583,                0.58816,                0.47458,                0.48871,                0.18366,                 2.0668,                 1.7528,                 1.6823,                0.00101,                0.00101,                0.00101
                     27,                 1.8756,                 1.5987,                 1.5305,                0.57661,                0.48154,                0.50663,                0.19382,                 2.0453,                 1.7098,                 1.6657,              0.0009704,              0.0009704,              0.0009704
                     28,                   1.86,                  1.576,                 1.5084,                0.56276,                   0.46,                0.49384,                0.18415,                 2.1035,                 1.7353,                 1.7127,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.8535,                 1.5766,                 1.5283,                0.61484,                0.51385,                0.54402,                0.20039,                 2.0663,                 1.6782,                 1.6819,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.8216,                 1.5098,                 1.5105,                0.65115,                0.49231,                0.53924,                0.20137,                 2.0886,                 1.6811,                 1.6899,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.8337,                 1.5033,                 1.5165,                0.60471,                0.47538,                 0.5124,                0.18885,                 2.0955,                 1.6971,                 1.6894,               0.000812,               0.000812,               0.000812
                     32,                  1.821,                 1.4978,                 1.5049,                0.58462,                0.46336,                0.49313,                0.18591,                 2.0484,                 1.7096,                 1.6882,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.8189,                 1.4773,                 1.5026,                0.61662,                0.48993,                0.53067,                0.19783,                 2.0781,                 1.6469,                 1.7058,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.7889,                  1.448,                 1.4888,                0.60906,                0.50813,                0.52032,                0.20037,                 2.0998,                 1.5951,                 1.7336,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.8162,                 1.4414,                 1.4804,                0.61809,                0.48154,                0.51663,                0.19322,                 2.0707,                 1.6264,                 1.6871,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7815,                 1.4109,                 1.4755,                0.63991,                0.50154,                0.53273,                0.20111,                 2.0922,                 1.6296,                 1.7151,               0.000614,               0.000614,               0.000614
                     37,                 1.7881,                 1.4295,                 1.4882,                0.60163,                0.49722,                0.50425,                0.19131,                 2.0863,                 1.6508,                  1.735,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.7692,                 1.3786,                  1.475,                0.60246,                0.52154,                0.53033,                0.21314,                 2.0563,                 1.5944,                 1.6844,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.7557,                 1.3547,                 1.4594,                0.65234,                0.51077,                0.54778,                0.21259,                 2.0804,                 1.5718,                 1.7066,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.7592,                 1.3492,                 1.4532,                0.60663,                0.55385,                0.54772,                0.20503,                 2.1301,                 1.5429,                 1.7299,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.763,                 1.3035,                 1.4831,                 0.6335,                0.54923,                 0.5626,                0.21093,                 2.1282,                 1.5404,                 1.7172,               0.000416,               0.000416,               0.000416
                     42,                 1.7453,                 1.2607,                 1.4784,                0.68466,                0.50923,                0.53747,                0.20466,                 2.0981,                 1.5604,                 1.7264,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7269,                 1.2166,                 1.4623,                0.63747,                0.55231,                0.55554,                0.21199,                 2.1265,                 1.5161,                 1.7398,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.7102,                 1.2022,                 1.4476,                0.65113,                0.51692,                0.54022,                0.20261,                 2.1105,                 1.5693,                 1.7177,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.7088,                 1.1914,                 1.4447,                0.64173,                0.56462,                0.55774,                0.21297,                 2.1054,                 1.5413,                 1.7385,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.6888,                 1.1675,                 1.4389,                 0.6793,                0.53538,                0.55835,                0.21528,                  2.096,                 1.5125,                 1.7255,               0.000218,               0.000218,               0.000218
                     47,                 1.6723,                  1.147,                 1.4365,                0.67271,                0.53846,                0.55779,                0.21075,                 2.1054,                 1.5433,                 1.7351,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.6652,                 1.1278,                 1.4193,                0.64268,                0.55077,                0.55521,                0.21137,                 2.1193,                 1.5291,                  1.741,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6514,                 1.1171,                 1.4198,                 0.6704,                0.54154,                0.56758,                0.21612,                 2.1328,                 1.5178,                 1.7586,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.6339,                   1.11,                  1.404,                0.67412,                0.54739,                0.55742,                0.21306,                 2.1255,                 1.5195,                 1.7582,               5.96e-05,               5.96e-05,               5.96e-05
